data;ora;slot;tema;cta_funnel;testo;stato
2026-07-04;06:00;1;Sabato check;Fotografia81+;;BOZZA
2026-07-04;06:30;2;Scadenze;Check Scadenze81+;;BOZZA
2026-07-04;07:00;3;HACCP allergeni;Check HACCP81+;;BOZZA
2026-07-04;07:30;4;Privacy accessi;Check Privacy81+;;BOZZA
2026-07-04;08:00;5;Corsi;SCHOOL81+;;BOZZA
2026-07-04;08:30;6;Cantieri caldo;Check Cantiere81+;;BOZZA
2026-07-04;09:00;7;Appalti CIG;APPALTI81+;;BOZZA
2026-07-04;09:30;8;BOOK81+;BOOK81+;;BOZZA
2026-07-04;10:00;9;Membership;Membership81+;;BOZZA
2026-07-04;10:30;10;Network;Network81+;;BOZZA
2026-07-04;11:00;11;Franchising;Franchising81+;;BOZZA
2026-07-04;11:30;12;Audit;Audit Express;;BOZZA
2026-07-04;12:00;13;Pausa community;Segmentazione;;BOZZA
2026-07-04;12:30;14;HACCP registri;Kit HACCP;;BOZZA
2026-07-04;13:00;15;YouTube push;YT -> 81plus.net;;BOZZA
2026-07-04;13:30;16;Privacy social;Kit Privacy;;BOZZA
2026-07-04;14:00;17;Preposti;Corso Preposto;;BOZZA
2026-07-04;14:30;18;Primo soccorso;Corso Primo Soccorso;;BOZZA
2026-07-04;15:00;19;Antincendio;Corso Antincendio;;BOZZA
2026-07-04;15:30;20;DPI;Check DPI;;BOZZA
2026-07-04;16:00;21;Dashboard;Membership81+;;BOZZA
2026-07-04;16:30;22;Ore perse;Calcolatore ore;;BOZZA
2026-07-04;17:00;23;MASTER81+;MASTER81+;;BOZZA
2026-07-04;17:30;24;ACADEMY81+;ACADEMY81+;;BOZZA
2026-07-04;18:00;25;USER;Gruppo USER81+;;BOZZA
2026-07-04;18:30;26;MEMBER;Membership81+;;BOZZA
2026-07-04;19:00;27;ELITE;ELITE81+;;BOZZA
2026-07-04;19:30;28;VIP;VIP81+;;BOZZA
2026-07-04;20:00;29;GENESYS;GENESYS81+;;BOZZA
2026-07-04;20:30;30;Recap;LISTINO81+;;BOZZA
2026-07-04;21:00;31;Libro;Amazon / BOOK81+;;BOZZA
2026-07-04;21:30;32;FAQ;WhatsApp opt-in;;BOZZA
2026-07-04;22:00;33;Mito/fatto;Check gratuito;;BOZZA
2026-07-04;22:30;34;Sondaggio;Segmentazione;;BOZZA
2026-07-04;23:00;35;Evergreen;Video YT;;BOZZA
2026-07-04;23:30;36;Night value;81plus.net;;BOZZA
2026-07-04;00:00;37;CORTEX81+;CORTEX81+;;BOZZA
2026-07-04;00:30;38;Checklist;Magnet81+;;BOZZA
2026-07-04;01:00;39;Appalti;Checklist gara;;BOZZA
2026-07-04;01:30;40;HACCP;Kit HACCP;;BOZZA
2026-07-04;02:00;41;Privacy;Kit Privacy;;BOZZA
2026-07-04;02:30;42;Formazione;Corsi online;;BOZZA
2026-07-04;03:00;43;Franchising;Franchising81+;;BOZZA
2026-07-04;03:30;44;Network;Network81+;;BOZZA
2026-07-04;04:00;45;Welfare;Welfare81+;;BOZZA
2026-07-04;04:30;46;Shop;81plus.shop;;BOZZA
2026-07-04;05:00;47;PV+ utility;PV+ benefit;;BOZZA
2026-07-04;05:30;48;Agenda;Agenda81+;;BOZZA
